term,subculture,similarity,specificity,contextual_relevance,seed_closeness,subculture_relevance,uniqueness,normalized_specificity,normalized_similarity,normalized_contextual_relevance,normalized_seed_closeness,normalized_subculture_relevance,combined_score,cooccurrence_count,frequency
gooning gooner hentaiart,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,534.0
gooner hentaiart,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,534.0
dildo rope bskyhentai,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,535.0
hentai porn lewd,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,535.0
goon hentaicommunity,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,491.0
hentaiart rule34,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,536.0
youtube channel,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,1156.0
base chance blocks,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,4531.0
chance blocks mined,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,4531.0
transcendent base chance,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,2385.0
climate change,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,2072.0
chance blocks,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,4531.0
change mind,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,647.0
hentai porn,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,582.0
waifu gooning,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,541.0
waifu gooning gooner,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,537.0
enigmatic base chance,weeb,0.6,0.0,1.0,1.0,0.8,0.5,,,,,,0.5,,872.0
music,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,269.0,
vtuber,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,232.0,
characters,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,266.0,
nnn,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,222.0,
stablediffusion,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,223.0,
animewaifu,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,224.0,
fun,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,230.0,
happy,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,230.0,
feel,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,245.0,
gaming,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,233.0,
girls,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,242.0,
gooner,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,1348.0,
promosky,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,254.0,
life,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,261.0,
furry,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,257.0,
reading,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,258.0,
digitalart,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,369.0,
watched,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,305.0,
dandadan,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,279.0,
illustration,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,360.0,
day,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,361.0,
black,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,275.0,
stuff,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,281.0,
tags,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,284.0,
sexy,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,313.0,
aigirl,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,314.0,
lol,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,318.0,
lot,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,322.0,
pretty,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,337.0,
artist,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,339.0,
dragon,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,340.0,
color,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,342.0,
video,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,343.0,
fantasy,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,346.0,
animeart,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,354.0,
pokemon,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,262.0,
bondage,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,588.0,
aiartcommunity,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,252.0,
adult,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,656.0,
cute,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,466.0,
game,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,382.0,
food,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,382.0,
drink,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,390.0,
watching,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,400.0,
people,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,408.0,
aiart,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,409.0,
piece,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,180.0,
drawing,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,445.0,
favorite,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,478.0,
girl,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,511.0,
read,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,522.0,
watch,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,543.0,
games,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,556.0,
season,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,570.0,
fanart,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,632.0,
character,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,381.0,
series,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,370.0,
nsfwart,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,1336.0,
time,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,644.0,
post,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,682.0,
boobs,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,765.0,
tits,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,780.0,
sex,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,814.0,
nude,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,840.0,
pussy,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,891.0,
cum,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,897.0,
ass,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,988.0,
hentaicommunity,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,1113.0,
hentaiart,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,1189.0,
lewdtuber,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,1220.0,
nsfwbsky,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,1226.0,
goonsky,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,1284.0,
nsfwsky,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,1314.0,
love,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,1395.0,
gag,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,555.0,
lewd,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,1573.0,
comics,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,215.0,
cool,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,161.0,
fan,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,191.0,
art,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,1729.0,
goon,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,1741.0,
porn,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,1865.0,
nsfw,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,2708.0,
animation,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,217.0,
style,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,213.0,
draw,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,162.0,
forge,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,209.0,
blue,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,205.0,
horror,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,204.0,
thot,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,202.0,
onlyfans,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,199.0,
hope,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,197.0,
episode,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,192.0,
cunny,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,190.0,
phonewallpaper,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,189.0,
women,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,162.0,
movies,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,165.0,
goonette,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,219.0,
story,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,190.0,
gonna,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,188.0,
femboy,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,187.0,
comic,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,187.0,
sailor,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,139.0,
nofap,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,185.0,
wanna,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,219.0,
thanksgiving,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,177.0,
japan,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,176.0,
sketch,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,176.0,
repost,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,171.0,
mangaart,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,171.0,
bluesky,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,170.0,
animegirl,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,166.0,
friends,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,191.0,
movie,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,186.0,
naruto,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,161.0,
yeah,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,139.0,
bit,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,139.0,
horny,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,159.0,
teen,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,157.0,
gooning,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,1513.0,
gay,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,152.0,
fall,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,151.0,
hot,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,150.0,
onepiece,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,149.0,
started,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,146.0,
moon,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,145.0,
pantyhose,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,144.0,
play,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,144.0,
enjoy,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,142.0,
creampie,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,141.0,
live,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,140.0,
books,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,160.0,
japanese,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,153.0,
check,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,137.0,
content,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,135.0,
yuri,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,137.0,
start,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,129.0,
monster,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,136.0,
list,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,136.0,
hard,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,136.0,
futa,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,136.0,
bad,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,135.0,
shit,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,136.0,
futanari,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,135.0,
amazing,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,134.0,
cosplayer,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,134.0,
green,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,132.0,
wait,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,130.0,
adaptation,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,130.0,
real,weeb,0.5,0.0,1.0,1.0,0.6,0.5,,,,,,0.4,130.0,
channel,weeb,0.008474975722854643,2571149076.596458,0.0009981550719848698,0.0006362303811644392,0.5,0.5,0.006681142267908275,0.0048026928579356695,0.02962233624097649,0.0028994556509022587,0.5,0.24981926267089993,,
